00,25x40,Цвет,B800,0-7,360x400,16
01,25x40,Цвет,B800,0-7,360x400,16
02,25x80,Цвет,B800,0-3,720x400,16
03,25x80,Цвет,B800,0-3,720x400,16
07,25x80,Моно,B000,0,720x400,2
